,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Semester: Spring 2014,,,,,
,,,,,,,,FACULTY OF SCIENCE AND INFORMATION TECHNOLOGY,,,,,,,,,,,
,Effective From:     18 January 2014,,,,,,,CLASS ROUTINE FOR CSE PROGRAM (DAY),,,,,,,,,,,
,,,,,,,,,,,,,,,Prepared by: Narayan Ranjan Chakraborty (NRC),,,,
Saturday,,,,,,,,,,,,,,,,,,,
08:30-10:00,,,10:00-11:30,,,11.30-01:00,,,01:00-02:30,,,02:30-04:00,,,04:00-05:30,,,,
Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,,
L-305AB,ACM,,L-305AB,ACM,,L-305AB,ACM,,L-305AB,ACM,,L-305AB,ACM,,L-305AB,ACM,,,
L-301AB,CSE 222 (B),NHM,L-301AB,CSE 222 (B),NHM,L-301AB,Booked,,L-301AB,CSE 123 (C,SRH,L-301AB,CSE 123 (C,SRH,L-301AB,CSE 311 (C,MTR,,
L-304AB,CSE 222 (C),KA,L-304AB,CSE 222 (C),KA,L-304AB,CSE 432,APC,L-304AB,CSE 412L (C,ABMM,L-304AB,CSE 412L (C,ABMM,L-304AB,CSE 112 (E),SR,,
406 AB,,,406 AB,CSE 231 (A),SKM,406 AB,CSE 112 (F),SKM,406 AB,MGT 414 (A),FM,406 AB,ENG 113 (F),TF,406 AB,PHY 113 (H),AT,,
202,CSE 132 (B),AH,202,MAT 121 (D),SP,202,MAT 121 (C,SP,202,CSE 112 (H),MOI,202,GED 201 (G),AJ,202,GED 201 (G),AJ,,
203, ,,203,CSE 234 (B),KWN,203,MGT 414 (B),FM,203,CSE 224 (C),HR,203,GED 201 (E),JUS,203,GED 201 (E),JUS,,
501 AB,,,501 AB,CSE 132 (C,HK,501 AB,Booked,AH,501 AB,CSE 234 (A),KWN,501 AB,MGT 414 (A),FM,501 AB,,,,
504 AB,CSE 214 (B),KWN,504 AB,,,504 AB,CSE 413 (C,JM,504 AB,GED 201 (C,JUS,504 AB,CSE 112 (C,MOI,504 AB,CSE 413 (A),JM,,
601 AB,,,601 AB,CSE 432,APC,601 AB,CSE 214 (C,ABMM,601 AB,STA 133 (A),RA,601 AB,CSE 224 (A),HR,601 AB,ENG 113 (C,TF,,
604 AB,,,604 AB,CSE 112 (B),MOI,604 AB,GED 201 (B),JUS,604 AB,ENG 113 (B),TF,604 AB,Booked,NRC,604 AB,Booked,NRC,,
306 AB,,,306 AB,MGT 414 (B),FM,306 AB,STA 133 (B),RA,306 AB,CSE 134 (D),MTR,306 AB,MAT 121 (A),SP,306 AB,PHY 113 (F),MKA,,
,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,,,,,,,,,,,,
08:30-10:00,,,10:00-11:30,,,11.30-01:00,,,01:00-02:30,,,02:30-04:00,,,04:00-05:30,,,,
Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,,
L-305AB,CSE 122 (D),SN,L-305AB,CSE 212 (F),SN,L-305AB,CSE 112 (A),MOI,L-305AB,CSE 122 (B),RS,L-305AB,CSE 314 (B),NRC,L-305AB,CSE 314 (B),NRC,,
L-301AB,CSE 215 (H),SMH,L-301AB,CSE 215 (H),SMH,L-301AB,CSE 232 (B),NNM,L-301AB,CSE 312 (C,MTR,L-301AB,CSE 312 (C,MTR,L-301AB,CSE 421L (A),NNM,,
L-304AB,,,L-304AB,CSE 135 (D),MTR,L-304AB,CSE 135 (D),MTR,L-304AB,PHY 113 (A),SSK,L-304AB,CSE 312 (A),AR,L-304AB,CSE 312 (A),AR,,
406 AB,GED 201 (A),JUS,406 AB,MAT 111 (F),SF,406 AB,CSE 431,MFH,406 AB,MAT 111 (G),SP,406 AB,PHY 113 (E),SKN,406 AB,CSE 112 (D),MOI,,
202,CSE 122 (A),RS,202,PHY 123 (B),KI,202,PHY 123 (A),KI,202,CSE 323 (A),AHMSI,202,CSE 322 (B),RR,202,CSE 233 (B),RR,,
203,MAT 131 (D),MJU,203,PHY 123 (D),SSK,203,MAT 211 (F),MPL,203,CSE 321 (B),NN,203,CSE 212 (A),FNN,203,CSE 412 (C,ABMM,,
501 AB,,,501 AB,CSE 231 (B),NNM,501 AB,CSE 311 (B),MW,501 AB,ENG 123 (A),NJ,501 AB,CSE 411 (C,SR,501 AB,CSE 411 (A),FNN,,
504 AB,MAT 111 (C,SF,504 AB,CSE 313 (A),NRC,504 AB,CSE 214 (E),MMH,504 AB,GED 201 (H),SKC,504 AB,CSE 214 (F),MMH,504 AB,CSE 112 (E),SR,,
601 AB,CSE 134 (B),BH,601 AB,MAT 131 (B),MJU,601 AB,MAT 211 (A),BCD,601 AB,CSE 132 (A),JI,601 AB,CSE 331,RH,601 AB,,,,
604 AB,MAT 211 (E),MPL,604 AB,CSE 112 (A),MOI,604 AB,CSE 134 (A),SAH,604 AB,CSE 214 (A),SAH,604 AB,CSE 421 (A),NNM,604 AB,CSE 332,SAH,,
306 AB,MAT 111 (H),SP,306 AB,CSE 322 (A),MFH,306 AB,ENG 123 (B),NJ,306 AB,CSE 412 (A),SR,306 AB,CSE 214 (C,ABMM,306 AB,MAT 211 (C,BCD,,
,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,,,,,,,,,,,,
08:30-10:00,,,10:00-11:30,,,11.30-01:00,,,01:00-02:30,,,02:30-04:00,,,04:00-05:30,,,,
Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,,
L-305AB,CSE 122 (C,SRH,L-305AB,CSE 135 (A),SAH,L-305AB,CSE 135 (A),SAH,L-305AB,CSE 413 (C,JM,L-305AB,CSE 215 (A),SAH,L-305AB,CSE 215 (A),SAH,,
L-301AB,MAT 121 (D),SP,L-301AB,CSE 215 (E),MMH,L-301AB,CSE 215 (E),MMH,L-301AB,CSE 413L (B),MOI,L-304AB,CSE 123 (B),RS,L-301AB,CSE 123 (B),RS,,
L-304AB,CSE 232 (A),SKM,L-304AB,CSE 232 (A),SKM,L-304AB,CSE 323L (A),AHMSI,L-304AB,CSE 323L (A),AHMSI,L-304AB,CSE 215 (F),MMH,L-304AB,CSE 215 (F),MMH,,
